"exposure","cutoff","outcome","model_spec","subset","estimate","conf.low","conf.high","p.value","n","direction","sig","effect_sign","spec_id","estimate_pretty","p_pretty"
"sum_dehp_mol","Q2vsQ1","ir_binary","M1","Fasting>=10h",1.18208110648127,0.862712234243175,1.61967767099744,0.29395651136721,2005,"positive",FALSE,1,104,"1.182 (0.863-1.620)","0.294"
"sum_lmw","Q2vsQ1","ir_binary","M1","Fasting>=10h",1.19648480993598,0.83239604179954,1.71982545389409,0.328391016133172,2005,"positive",FALSE,1,105,"1.196 (0.832-1.720)","0.328"
"sum_hmw","Q3vsQ1","ir_binary","M2","Male",1.22149757637536,0.689525311252898,2.16388913465663,0.48781096930809,1130,"positive",FALSE,1,106,"1.221 (0.690-2.164)","0.488"
"sum_lmw","Q4vsQ1","ir_binary","M1","Age<60",1.22849932589862,0.852941768991462,1.76941808761212,0.265251040103578,1620,"positive",FALSE,1,107,"1.228 (0.853-1.769)","0.265"
"sum_hmw","Q4vsQ1","ir_binary","M2","Crude",1.23566941953314,0.837038900640435,1.82414331424876,0.282526323568029,2239,"positive",FALSE,1,108,"1.236 (0.837-1.824)","0.283"
"sum_lmw","Q2vsQ1","ir_binary","M1","Crude",1.23621973730376,0.887273563397644,1.72239915843685,0.207101623255145,2239,"positive",FALSE,1,109,"1.236 (0.887-1.722)","0.207"
"sum_lmw","Q2vsQ1","ir_binary","M1","Age<60",1.25318024299155,0.846432734582029,1.85538750719497,0.256039769127165,1620,"positive",FALSE,1,110,"1.253 (0.846-1.855)","0.256"
"sum_hmw","Q3vsQ1","ir_binary","M2","Age<60",1.26249846796098,0.800113127495629,1.99209627592635,0.311847026893794,1620,"positive",FALSE,1,111,"1.262 (0.800-1.992)","0.312"
"sum_lmw","Q4vsQ1","ir_binary","M1","Crude",1.26890742750055,0.914860382839467,1.75996916006866,0.15144957788566,2239,"positive",FALSE,1,112,"1.269 (0.915-1.760)","0.151"
"sum_lmw","Q4vsQ1","ir_binary","M1","Fasting>=10h",1.27147014795541,0.912489521833642,1.7716766039057,0.153705286599445,2005,"positive",FALSE,1,113,"1.271 (0.912-1.772)","0.154"
"sum_dehp_mol","Q4vsQ1","ir_binary","M2","Crude",1.28646423599361,0.872153418178047,1.89759071740836,0.20061467368493,2239,"positive",FALSE,1,114,"1.286 (0.872-1.898)","0.201"
"sum_hmw","Q4vsQ1","ir_binary","M2","Fasting>=10h",1.29338573847506,0.860272741210179,1.94455384711763,0.212669078361895,2005,"positive",FALSE,1,115,"1.293 (0.860-1.945)","0.213"
"sum_dehp_mol","Q2vsQ1","ir_binary","M1","Age<60",1.32594804702697,0.902825959183951,1.94737225434213,0.148126344525715,1620,"positive",FALSE,1,116,"1.326 (0.903-1.947)","0.148"
"sum_hmw","Q3vsQ1","ir_binary","M1","Crude",1.34610350839307,0.979988427392539,1.84899597246195,0.0661084382089428,2239,"positive",FALSE,1,117,"1.346 (0.980-1.849)","0.0661"
"sum_hmw","Q4vsQ1","ir_binary","M2","Male",1.34901176038895,0.748465815154381,2.43141729765217,0.314496412322001,1130,"positive",FALSE,1,118,"1.349 (0.748-2.431)","0.314"
"sum_hmw","Q2vsQ1","ir_binary","M1","Age<60",1.35656373874855,0.888574065067611,2.07103183587451,0.15549814361374,1620,"positive",FALSE,1,119,"1.357 (0.889-2.071)","0.155"
"sum_dehp_mol","Q4vsQ1","ir_binary","M2","Male",1.36158550350155,0.749601689824063,2.47320024556069,0.306122315521716,1130,"positive",FALSE,1,120,"1.362 (0.750-2.473)","0.306"
"sum_hmw","Q3vsQ1","ir_binary","M1","Fasting>=10h",1.36423428341571,0.989954117209578,1.88002165725904,0.0574890866679126,2005,"positive",FALSE,1,121,"1.364 (0.990-1.880)","0.0575"
"sum_hmw","Q2vsQ1","ir_binary","M1","Male",1.37647875784523,0.862197070629233,2.19751821867869,0.178002115839333,1130,"positive",FALSE,1,122,"1.376 (0.862-2.198)","0.178"
"sum_dehp_mol","Q2vsQ1","ir_binary","M1","Male",1.38532133755763,0.872856694714669,2.1986601236069,0.164248578040092,1130,"positive",FALSE,1,123,"1.385 (0.873-2.199)","0.164"
"sum_dehp_mol","Q3vsQ1","ir_binary","M1","Crude",1.38719306481739,1.02667295233384,1.87431118615049,0.0334151312938928,2239,"positive",TRUE,1,124,"1.387 (1.027-1.874)","0.0334"
"sum_dehp_mol","Q4vsQ1","ir_binary","M2","Fasting>=10h",1.38724378926203,0.927743166156045,2.07432983723256,0.109251214395154,2005,"positive",FALSE,1,125,"1.387 (0.928-2.074)","0.109"
"sum_dehp_mol","Q3vsQ1","ir_binary","M2","Age<60",1.39325571564757,0.895127161845565,2.1685874051485,0.139534346797155,1620,"positive",FALSE,1,126,"1.393 (0.895-2.169)","0.14"
"sum_lmw","Q4vsQ1","ir_binary","M1","Male",1.43657801736103,0.910962544006022,2.26546789826224,0.117521634910718,1130,"positive",FALSE,1,127,"1.437 (0.911-2.265)","0.118"
"sum_dehp_mol","Q3vsQ1","ir_binary","M1","Fasting>=10h",1.44594417908815,1.05178751611419,1.98781078593057,0.0236807269978068,2005,"positive",TRUE,1,128,"1.446 (1.052-1.988)","0.0237"
"sum_lmw","Q4vsQ1","ir_binary","M2","Male",1.48189278007156,0.826350157424434,2.65747660588912,0.183710109811184,1130,"positive",FALSE,1,129,"1.482 (0.826-2.657)","0.184"
"sum_hmw","Q3vsQ1","ir_binary","M1","Male",1.4844706814612,0.944359058976574,2.33349082975497,0.0860687508213587,1130,"positive",FALSE,1,130,"1.484 (0.944-2.333)","0.0861"
